S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
25,WOORY-BI3-MODE-201502606030-0.50mm,C_002,BI3-MODE-201502606030-0.50mm,0.142,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
26,WOORY-BC3-TEMP-RHD-201502608520-0.45mm,C_002,BC3-TEMP-RHD-201502608520-0.45mm,0.115,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
27,WOORY-BC3-MODE-201502608511-0.50mm,C_002,BC3-MODE-201502608511-0.50mm,0.150,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
28,WOORY-BC3-TEMP-LHD-201502608500-0.40mm,C_002,BC3-TEMP-LHD-201502608500-0.40mm,0.100,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
29,WOORY-QY-MODE-RHD-201502598500-0.50mm,C_002,QY-MODE-RHD-201502598500-0.50mm,0.135,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
30,WOORY-QY-TEMP-LHD(10.8±0.2)-201502598520-0.45mm,C_002,QY-TEMP-LHD(10.8±0.2)-201502598520-0.45mm,0.113,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
31,WOORY-QY-TEMP-RHD(11.5±0.2)-201502598510-0.45mm,C_002,QY-TEMP-RHD(11.5±0.2)-201502598510-0.45mm,0.115,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
32,WOORY-QY-TEMP-RHD(OLD)-201502598510-0.45mm,C_002,QY-TEMP-RHD(OLD)-201502598510-0.45mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
33,WOORY-QY-REAR-BLOWER-201502598700-0.45mm,C_002,QY-REAR-BLOWER-201502598700-0.45mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
34,WOORY-QY-NHTR-TEMP-201502598820-0.45mm,C_002,QY-NHTR-TEMP-201502598820-0.45mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
35,WOORY-QY-NHTR-BLOWER-201502598800-0.35mm,C_002,QY-NHTR-BLOWER-201502598800-0.35mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.35mm,Coil,SS Stainless Steel,304,Bright,0.35mm,Coiling,Stress_Relieving,,,,
36,WOORY-KY-MODE-201502655500-0.50mm,C_002,KY-MODE-201502655500-0.50mm,0.175,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
37,WOORY-KY-TEMP-RHD(0.50mm)-201502655510R-0.50mm,C_002,KY-TEMP-RHD(0.50mm)-201502655510R-0.50mm,0.220,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.50mm,Coil,SS Stainless Steel,304,Bright,0.50mm,Coiling,Stress_Relieving,,,,
38,WOORY-KY-TEMP-LHD(0.45mm)-201502655510-0.45mm,C_002,KY-TEMP-LHD(0.45mm)-201502655510-0.45mm,0.180,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
39,ROTORK-RETUN SPRING-RH-22829-0.70mm,C_003,RETUN SPRING-RH-22829-0.70mm,,Spring,TORSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,,,
40,ROTORK-RETUN SPRING-LH-22828-0.70mm,C_003,RETUN SPRING-LH-22828-0.70mm,,Spring,TORSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,,,
41,ROTORK-COUNTER PINION-20492-0.60mm,C_003,COUNTER PINION-20492-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,Grinding,,
42,ROTORK-COUNTER SHAFT-20454-1.20mm,C_003,COUNTER SHAFT-20454-1.20mm,,Spring,WIRE FORM SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.20mm,Coil,SS Stainless Steel,304,Soap Coated,1.20mm,Forming,Stress_Relieving,,,,
43,ROTORK-TENSION SPRING-25601-0.60mm,C_003,TENSION SPRING-25601-0.60mm,,Spring,TENSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,Zinc_Blue,
44,ROTORK-TENSION SPRING-25602-0.60mm,C_003,TENSION SPRING-25602-0.60mm,,Spring,TENSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,Zinc_Yellow,
45,ROTORK-COMPRESSION SPRING-25642-0.60mm,C_003,COMPRESSION SPRING-25642-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,Grinding,,
46,ROTORK-GROUND ENDS-25258-2.20mm,C_003,GROUND ENDS-25258-2.20mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-2.20mm,Coil,ST Spring Steel,DM,,2.20mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
47,ROTORK-SPRING LC-059H-6-25257-1.50mm,C_003,SPRING LC-059H-6-25257-1.50mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DM-1.50mm,Coil,ST Spring Steel,DM,,1.50mm,Coiling,Stress_Relieving,,Grinding,Zinc_Blue,
